species	sample
americana-Mex	STDMaAM01
americana-USA	IA0506
calverti-Mex	RG0101
titia-NAtl	MI0239
titia-Pac	HtiCn7
titia-SAtl	MIXTa10
americana-Mex	05LT11
americana-USA	TN0119
calverti-Mex	RG0103
titia-NAtl	MO0311
titia-Pac	ARa05
titia-SAtl	BZ2105
americana-Mex	TXRSbAM03
americana-USA	TN0413
calverti-Mex	05SI24
titia-NAtl	ACSFc01
titia-Pac	HtiPo10
titia-SAtl	BZ1513
americana-Mex	HXRCcAM01
americana-USA	EAFB014146
calverti-Mex	TULIaAM02
titia-NAtl	CYa10
titia-Pac	RLPEa05
titia-SAtl	MACM02
