Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-2005.622881113088	-1977.4822235229851	-28.14065759010274	0.1	0.4406511413795109	0.01
5000	-1488.4426289498272	-1467.3731011712612	-21.06952777856602	0.23947038097464843	21.51287556555124	0.01282185953963171
10000	-1480.285831463161	-1462.9005239582266	-17.385307504934357	0.027150139131709564	26.535224947048082	0.006899524500995431
15000	-1481.4224789866798	-1463.52633453566	-17.89614445101987	0.12679262605115538	25.783835025343414	0.005736661019126366
20000	-1487.1505640191342	-1469.0297320288355	-18.120831990298633	0.06076212193437524	31.45018427091246	0.0038407477952342797
25000	-1483.5798405422586	-1463.974460346521	-19.60538019573748	0.0672488288229316	31.661208204028455	0.006401205917349917
30000	-1481.261107861001	-1465.0079086318938	-16.25319922910726	0.05046334020914449	26.5873911892078	0.006105687520440885
35000	-1480.575927446521	-1462.7302885173483	-17.845638929172807	0.1548097217114323	18.77974213850572	0.008120347344277575
40000	-1480.5622236552485	-1464.1334618523665	-16.42876180288212	0.08191381399634007	31.120423312332093	0.006556360843737754
45000	-1485.2024437277116	-1468.4002998211856	-16.80214390652605	0.12742918542912748	26.49036427075607	0.005779912766158155
50000	-1482.0515640324124	-1464.5372117187346	-17.51435231367773	0.05846426345817959	25.944483078746572	0.00684071718031702
55000	-1482.7086255946042	-1465.7235185512825	-16.985107043321694	0.11812020007612495	21.478230168215813	0.00915976314582722
60000	-1479.2953502631829	-1462.5865299385239	-16.708820324658966	0.038537933536488024	27.3606615832644	0.00510096209445458
65000	-1479.9483104733406	-1462.3237117239412	-17.624598749399436	0.08228231112340427	25.760026539307326	0.0050937274688371715
70000	-1482.8484591587912	-1465.3791518660723	-17.469307292718977	0.1103904332752627	16.915970493223575	0.010109132892738055
75000	-1481.7554057605166	-1463.7320780670598	-18.02332769345694	0.13252389740524684	20.638680796150833	0.007790585726870641
80000	-1478.7223611147438	-1462.7711349014585	-15.95122621328524	0.05173320812086593	25.069958957346913	0.007732808643606874
85000	-1482.3295822350992	-1464.4170050391658	-17.912577195933466	0.03929655428123403	31.8384764250422	0.004247543690659832
90000	-1481.4753492194527	-1464.1861521479302	-17.289197071522594	0.10295154520552056	23.8312294030174	0.007317460150009631
95000	-1480.1947921833698	-1462.6609408601053	-17.533851323264496	0.045450889712829845	29.248564043231703	0.006160308630636383
100000	-1479.5457324310712	-1462.6500550660585	-16.89567736501262	0.07648812326802389	24.99672175734658	0.0055618404208075045
105000	-1483.3684137831995	-1463.3105667505042	-20.05784703269514	0.08549117369345048	35.06092163505955	0.0063844427982061355
110000	-1479.2513197548	-1463.1822898707837	-16.069029884016285	0.06963431539607157	28.946592468888042	0.007127804197066508
115000	-1481.306986200254	-1462.4884811989575	-18.81850500129652	0.12592115826914194	13.10913582388373	0.010990444659729755
120000	-1480.5726388995733	-1463.8508438812505	-16.72179501832288	0.04637097576321811	33.426378063202534	0.0049907498543858815
125000	-1485.6807094357516	-1464.7904212962246	-20.89028813952699	0.2651635401224079	11.938143243937791	0.01695364178978539
130000	-1481.4334433551642	-1464.1182230861848	-17.315220268979424	0.05310114557236717	28.441438608300025	0.005299657859896527
135000	-1480.434077993996	-1463.9346280991451	-16.499449894850848	0.03854138791124114	23.40390058081001	0.006859401643947306
140000	-1483.0074670995207	-1466.6561205160142	-16.351346583506416	0.11605024884506014	25.878080653355305	0.00525655166973049
145000	-1481.5018858936805	-1465.236374871612	-16.26551102206844	0.06836886819970744	23.67054528592436	0.007343202721061026
150000	-1480.7809436583855	-1462.4174574644308	-18.36348619395478	0.02491852621858577	25.356293211165774	0.005573868619997724
155000	-1482.8850076494928	-1464.9776068070573	-17.90740084243537	0.048255989462608964	18.678073017182278	0.010292014753620318
160000	-1480.2217873423067	-1463.391753562713	-16.83003377959384	0.035573833616906976	22.09203198158959	0.007347822004843572
165000	-1482.6950170261396	-1465.6303237463862	-17.064693279753254	0.08713471410284823	17.528832971015873	0.009755148024190863
170000	-1482.7813222924651	-1464.4802788078878	-18.30104348457737	0.024195419006195224	27.423302575143907	0.007489266966019386
175000	-1481.7547037136392	-1464.6883202835047	-17.066383430134383	0.032525000546821184	28.456247005782927	0.006965404295339579
180000	-1480.5020372654567	-1464.1389587296696	-16.363078535787096	0.03283612861906107	30.85802459102693	0.0055870542234332365
185000	-1480.8193772082068	-1462.6252606623632	-18.19411654584353	0.11826709529748494	28.3511387415543	0.005287646110141404
190000	-1482.7909538492513	-1464.7947302289451	-17.996223620306147	0.1029391910737769	31.550137359127316	0.004171999268478967
195000	-1479.5940036519544	-1462.1206335099664	-17.473370141987985	0.029030637719194872	27.82494027754183	0.005008867852843306
200000	-1480.4101567900857	-1463.2554291227034	-17.154727667382318	0.052934368347281505	23.0394104959512	0.008120657249836146
205000	-1483.088790644079	-1465.079064536442	-18.009726107636784	0.07901745264827527	26.574140626066978	0.004518515605687045
210000	-1480.14922600606	-1464.019297709995	-16.129928296064936	0.07087412621919079	22.0506000383735	0.005854037022079565
215000	-1482.9809385543288	-1463.684011019275	-19.29692753505374	0.02821022362320156	17.86247372567542	0.011542925023730912
220000	-1479.84965227108	-1463.3971506208231	-16.45250165025692	0.07050079141713231	25.561022839131986	0.0075795419402444756
225000	-1482.6420408034594	-1465.8277929837468	-16.814247819712506	0.04243736725938653	28.918322836497552	0.004301129060668725
230000	-1480.7990462885584	-1464.293852532221	-16.505193756337263	0.11165889856034364	22.869968025270463	0.005536023115473949
235000	-1482.1187683802482	-1465.2893542648003	-16.829414115447968	0.1078547624645425	20.11226464129877	0.007565422793929507
240000	-1484.1412707478587	-1467.1601776204307	-16.981093127428124	0.04899854373076878	26.69204615064648	0.009592068326642866
245000	-1481.745273322694	-1464.7534130323636	-16.991860290330433	0.05629100281228197	21.451900092685353	0.009939135570807098
250000	-1485.8054836932986	-1468.006416192845	-17.79906750045341	0.060321864831163294	32.12615166741341	0.00454664722865632
255000	-1481.203284232214	-1464.0699583084124	-17.13332592380154	0.0923465353815088	21.653941280552072	0.010419647688235997
260000	-1478.8834088544356	-1462.2510405086514	-16.63236834578434	0.10122567294314275	25.518205986336834	0.006833958446025527
265000	-1483.14179076307	-1467.2492757320674	-15.892515031002644	0.06109230234059527	23.560572063129236	0.007580000993680434
270000	-1489.8734417767826	-1469.2778871814294	-20.5955545953531	0.06461038117698682	36.199006346783676	0.0036982344018679308
275000	-1478.2978466050247	-1462.1186808462082	-16.1791657588165	0.046920167727052375	27.96102983220724	0.005336381905385555
280000	-1479.9969546760885	-1463.3534677997782	-16.643486876310384	0.03882387929550317	23.60085911798209	0.006923420525321034
285000	-1481.7507815065742	-1464.1315043597353	-17.619277146838847	0.06449439497918534	28.511054311687925	0.00677770931508458
290000	-1479.1556578340037	-1462.5448518846208	-16.61080594938296	0.039350487278616196	25.327283322326718	0.006271669673079205
295000	-1480.2876764716866	-1462.596760681275	-17.690915790411623	0.054634979347898724	29.744982280588694	0.005213037108776995
300000	-1480.8293387448273	-1464.532079367515	-16.297259377312255	0.057391696384172165	29.52308555143163	0.004557334320234725
305000	-1479.4406197786823	-1462.709136514428	-16.731483264254198	0.09026188887982424	18.868483745432886	0.009061978816548792
310000	-1481.926205815305	-1464.0464446161564	-17.87976119914855	0.04833926334911125	17.280383756147614	0.006796000431692165
315000	-1479.5775990395023	-1463.1582479151152	-16.41935112438709	0.06349874555013188	22.88220590752655	0.005768759260188908
320000	-1483.0083925927213	-1464.2538793974095	-18.754513195311798	0.19446731157879238	18.40887657428117	0.0063030417643865425
325000	-1483.4355080147855	-1466.9188264211027	-16.516681593682804	0.09467065702100279	27.357548385521007	0.005709986506194786
330000	-1480.0317863869273	-1464.2068620003172	-15.82492438661009	0.05435974132129481	27.889264021509263	0.007095179488575675
335000	-1479.7286951822655	-1462.5195704295897	-17.209124752675752	0.08313120608178982	25.086322844614564	0.008060179150248304
340000	-1481.409978247085	-1464.7624246440928	-16.647553602992236	0.08287765318255984	28.808250532896245	0.0045369854686577935
345000	-1481.7451872428385	-1466.1793014154941	-15.565885827344315	0.04937429180340439	30.021192373851644	0.007036178776804911
350000	-1481.9062362884015	-1463.905040655673	-18.00119563272844	0.05392265047808691	17.13061978383695	0.01081017636173756
355000	-1481.8097861482656	-1464.1485018784515	-17.6612842698142	0.03962196337657118	27.333870630673186	0.004755043368923907
360000	-1480.861191522206	-1464.8173209226889	-16.043870599516996	0.06542956137902946	28.87986841974704	0.0072009564172018535
365000	-1480.5017493177445	-1464.1817866639597	-16.319962653784817	0.10753873577721637	22.882198738836742	0.009309736156503129
370000	-1482.7474742968514	-1465.9971753850568	-16.750298911794548	0.10879291813887408	26.71748861139162	0.008395279700923648
375000	-1481.2412199116484	-1464.4492965109766	-16.791923400671642	0.06404048470301735	26.66854341362822	0.005843587917001388
380000	-1480.0282644149572	-1464.2393154544302	-15.788948960527053	0.0789450902015614	29.55812367260754	0.0051253301097802986
385000	-1488.3123695413128	-1469.2182237042098	-19.094145837103	0.18359672806064328	23.553064691331755	0.00601000195593355
390000	-1479.916878180515	-1463.1023563660144	-16.814521814500388	0.11076760903728168	18.9035356534411	0.008461901572585704
395000	-1480.9703029966186	-1465.1849209024556	-15.785382094162944	0.033719863255157315	29.681563272924677	0.004433251376190807
400000	-1484.6680700756713	-1467.2566361341414	-17.41143394152979	0.1351444064734655	24.419720530214565	0.00870353967933823
405000	-1481.9746230266846	-1462.8677908775633	-19.10683214912144	0.014056252950930622	28.543540801240812	0.005449862210587923
410000	-1480.9659936247504	-1463.9706835262848	-16.995310098465502	0.08853304871774766	26.944455330487116	0.005770337216090346
415000	-1481.682567123579	-1465.0941174597583	-16.58844966382078	0.08987784223667533	21.352681199116596	0.00551600552892955
420000	-1483.70488441932	-1466.0324250843616	-17.672459334958333	0.12729538249345643	27.627468087611167	0.009523846779084385
425000	-1482.1551246756903	-1465.349138615027	-16.80598606066342	0.08537804458398662	22.106130813287145	0.00883001594539225
430000	-1480.2838102304968	-1463.5439293570912	-16.739880873405657	0.038990775864472624	29.925867431981167	0.00688845265447129
435000	-1480.5788143508687	-1464.2507138259782	-16.32810052489057	0.0655333817874139	22.491081313509792	0.007254370897947246
440000	-1483.4600964901729	-1465.1229512673424	-18.337145222830458	0.0680736385218494	31.688697430519106	0.004576827541568663
445000	-1479.3372791999775	-1463.26285759766	-16.074421602317408	0.07894354002563476	23.84264668942874	0.007623435728416857
450000	-1481.9440357879987	-1463.4622873906176	-18.48174839738117	0.03969643098609738	36.26047549531992	0.005912731872924153
455000	-1483.7240369914098	-1465.9392134015607	-17.784823589849132	0.15300964924908966	18.70262316705853	0.011025118655569856
460000	-1482.6450562630898	-1465.5538826188185	-17.091173644271375	0.06682518925959859	23.77172673921306	0.009381055555213083
465000	-1480.0487964252497	-1462.2253823599008	-17.823414065348924	0.10315912440116781	27.858429396052667	0.005452017442083454
470000	-1482.891784629234	-1465.5505344910366	-17.341250138197477	0.11128066618672422	29.74624686512944	0.006557681543084867
475000	-1484.733450123613	-1464.7274326553093	-20.006017468303696	0.18429686957832117	23.206236392486286	0.007299031042307291
480000	-1480.1524865201543	-1461.4918183466125	-18.660668173541904	0.01878420845827206	27.257788651699478	0.006158729222078884
485000	-1480.2764662526145	-1462.8384496724482	-17.438016580166387	0.04968329239330487	30.810283696845456	0.00486681724685625
490000	-1481.363982616133	-1464.6373388060852	-16.726643810047698	0.03913060621519942	26.62054446573241	0.007256627730280512
495000	-1481.8934363287046	-1465.173556711984	-16.719879616720625	0.07824818298362686	23.186036443810252	0.0070853473582106145
500000	-1481.9204062419558	-1464.1195121004207	-17.800894141535125	0.07491702329231119	28.51930585818306	0.006221086457598491
505000	-1481.6688948443389	-1465.5412706992342	-16.127624145104598	0.08423201369652246	20.32714289682103	0.007880438005349875
510000	-1482.1252600224961	-1464.120664525298	-18.00459549719817	0.04970815623079714	33.004585824247066	0.005340960705846883
515000	-1480.424752224764	-1462.9731779352783	-17.451574289485833	0.06372581722706339	23.11096035864923	0.005712625961198071
520000	-1484.0427885577628	-1467.1477192045818	-16.89506935318115	0.02826183753742638	29.643802814642637	0.005010025412128374
525000	-1479.2517016906131	-1462.4669116023072	-16.78479008830603	0.037738192579388256	23.641976881229663	0.0068698647094483836
530000	-1485.0450741415264	-1468.5345439618698	-16.51053017965656	0.06618877006299784	34.66785413572054	0.004421837123156991
535000	-1481.3381515610279	-1464.4430807765239	-16.895070784503982	0.09986503437844174	28.54696262800124	0.004717969421601737
540000	-1486.7961727129134	-1466.374350559795	-20.421822153118384	0.26809020809208384	16.481648221520988	0.010810013198829285
545000	-1479.3016569052236	-1463.0968280654206	-16.204828839803078	0.0702786792616041	23.944425553194115	0.005796772666867773
550000	-1480.858271558604	-1464.2562257816844	-16.602045776919624	0.05250516274312281	25.96993783166967	0.0075711988571539185
555000	-1482.0486852084778	-1465.231151697779	-16.817533510698674	0.028527302130819703	29.027961303146753	0.004672912877117043
560000	-1481.2454435096588	-1465.3102628276943	-15.935180681964457	0.057773328101462317	23.86419075153225	0.005976113382308609
565000	-1481.111509944878	-1463.5398525272265	-17.571657417651444	0.0207782987664018	30.28741478983177	0.005523566280491808
570000	-1479.577849825682	-1462.5222660830818	-17.05558374260024	0.03380973767654031	26.57514634759579	0.005933342065924194
575000	-1481.763002735731	-1465.5913452428936	-16.171657492837518	0.06783133468519138	31.627348816544984	0.006307947260098508
580000	-1486.601917974519	-1465.9828887789424	-20.619029195576598	0.20452244125546842	26.905659367583404	0.006269366759788763
585000	-1481.1692938302117	-1465.5453545790244	-15.62393925118726	0.06034423574716757	26.072354899472586	0.005294587497355219
590000	-1481.00609302518	-1463.697590047415	-17.30850297776518	0.09800375502924139	19.33337558819701	0.009118494434257853
595000	-1481.419239845954	-1464.4762297274833	-16.943010118470646	0.10544674212486435	26.78457474134457	0.006235913936439435
600000	-1480.7054216298134	-1464.0957980720148	-16.609623557798642	0.06873722388259039	20.95837667409863	0.0071730991512869895
605000	-1485.8421001215595	-1464.3485785401028	-21.493521581456573	0.057477063772652416	38.70116729735918	0.005667995313796801
610000	-1482.9662588186654	-1463.2403385551734	-19.72592026349211	0.05341202590294872	13.671726316653977	0.014806822699705855
615000	-1481.925470176508	-1465.6316660988823	-16.293804077625648	0.058264307984543545	24.79657462793037	0.0058403746917898465
620000	-1479.6213576942573	-1463.2145916386276	-16.40676605562984	0.04001673853035481	30.907232640442075	0.004386830536179574
625000	-1479.777746402838	-1463.639242668777	-16.138503734061036	0.05840803171729386	28.418932865926067	0.005815503430419815
630000	-1481.062310830129	-1463.7482848295544	-17.31402600057469	0.04916464610827328	32.807315076181766	0.004177591732344514
635000	-1480.3538346069392	-1462.9299444496944	-17.423890157244802	0.1385576608124238	25.914810822802345	0.007168490811859523
640000	-1478.8347935104703	-1461.768717035933	-17.066076474537425	0.05785511533297678	19.559646702471408	0.008131849459506135
645000	-1482.7254234471345	-1466.387441114523	-16.337982332611585	0.03145567406239396	28.69076346828141	0.0060141003922626664
650000	-1481.690950716408	-1465.1901293020503	-16.500821414357645	0.10836278362594969	24.17195323430617	0.005185640861434843
655000	-1480.3425046311863	-1462.1161425314162	-18.226362099770164	0.14909081455160553	16.195842484213696	0.011284346632335827
660000	-1481.733260539744	-1465.4105086585687	-16.322751881175197	0.08932731066310359	25.755775464526533	0.005446425284453825
665000	-1485.0670385920523	-1466.7809816585477	-18.286056933504614	0.045568444007540704	24.81167762794408	0.004899363085779455
670000	-1485.5109665992804	-1468.5114355539858	-16.99953104529449	0.07328469617886003	31.194574105921173	0.005763908601630467
675000	-1478.784504577073	-1462.2107572203804	-16.573747356692554	0.04525157930824141	24.17737090198222	0.007709793297390093
680000	-1479.5783504449084	-1463.0265308399767	-16.551819604931698	0.04351231252564709	22.577225488498186	0.006674678899324921
685000	-1482.968212060201	-1463.9094629185854	-19.058749141615646	0.07596560883387665	29.435524259644005	0.005993173889171622
690000	-1481.4715695718862	-1463.637045064577	-17.834524507309286	0.07770838025367911	29.740939297053682	0.0048239703670335315
695000	-1483.768090858349	-1467.2443011124171	-16.52378974593195	0.08360029539909039	32.12376773287756	0.004585611003038904
700000	-1481.3860344259133	-1464.0869940996108	-17.299040326302404	0.05709793890509558	18.673931798851672	0.010945532377787089
705000	-1480.50632792835	-1462.9335247327983	-17.57280319555172	0.06825755778057756	30.953035814033807	0.0055958768622213695
710000	-1480.616155182138	-1463.7750934907137	-16.841061691424365	0.07690214811116279	22.33561484309886	0.007841445320893634
715000	-1482.596914403821	-1463.0004243255787	-19.59649007824237	0.03134577028103895	35.522233618913425	0.005886700882330122
720000	-1481.253679067769	-1464.8614722788852	-16.392206788883843	0.051120682222459836	29.95112590968271	0.005607280275388193
725000	-1478.223881456254	-1462.1064228045018	-16.117458651752152	0.04568022783170515	27.467753697960188	0.006047888409799047
730000	-1480.1864338489993	-1463.57115165299	-16.61528219600927	0.09494819398417226	27.98536406652865	0.007900519397725026
735000	-1486.4012829351655	-1468.3157004419447	-18.085582493220617	0.13671091522987258	28.389983216649767	0.008957988172363209
740000	-1483.8045304267503	-1466.430008435262	-17.374521991488287	0.08038384497304848	20.423712201839788	0.009040400761135341
745000	-1481.266379789586	-1462.7057139476203	-18.56066584196567	0.18980539655338108	21.268020523107808	0.007579685525848082
750000	-1482.7174849940088	-1466.5562683754265	-16.16121661858235	0.0752809401958649	30.957589073100078	0.006998762532432397
755000	-1480.1573649161944	-1463.6581329919725	-16.499231924221974	0.06804175123124602	30.686354927590735	0.007132182410133016
760000	-1486.4469256322473	-1468.6565512369757	-17.790374395271623	0.03848317957873894	19.839699704331515	0.009025623566933578
765000	-1481.9700988561935	-1465.2477801094676	-16.72231874672604	0.10893251167875807	21.664738487804357	0.005289311939863927
770000	-1482.3324983397831	-1464.517970082358	-17.81452825742511	0.12052716051339807	23.728895592699168	0.007514143222307967
775000	-1479.5710423361247	-1462.846093931319	-16.724948404805666	0.0873980507350867	22.611863975795128	0.008079026695733356
780000	-1481.5783297888406	-1464.6843466507776	-16.893983138063128	0.03774247473746703	24.385828320796946	0.009326761132794681
785000	-1480.665961176598	-1465.1409405681036	-15.525020608494572	0.05468649992157779	26.691996491761067	0.0076992010091535105
790000	-1481.1957156505223	-1465.0427671341104	-16.152948516411847	0.07966345822537264	29.991862331694495	0.005684142899393537
795000	-1482.390879454214	-1464.9935845756381	-17.397294878575867	0.07249524859117863	30.976733068327125	0.004216608117930473
800000	-1486.0567342985444	-1467.4851019704233	-18.571632328121076	0.10345162566970803	28.131186439841848	0.00384949187962367
805000	-1480.5945252967244	-1463.6257976846682	-16.968727612056277	0.04807995756583585	29.894019173512763	0.006269424789493999
810000	-1480.6541269473212	-1464.3472130352418	-16.306913912079334	0.06375172818202765	32.323093365876964	0.004590578143987886
815000	-1482.2041427359165	-1463.6093493699304	-18.594793365986057	0.12863593658031366	13.651147314758168	0.009487942147134209
820000	-1478.5318855761814	-1462.5959131405355	-15.935972435645978	0.05324863085948581	25.538492428051622	0.005413499790081776
825000	-1478.9549116305052	-1462.7775133125292	-16.177398317976	0.06211383750215708	24.69370676121692	0.006565662037824729
830000	-1482.7327506267347	-1465.5959992642217	-17.13675136251297	0.0809824330102489	29.378733867957298	0.008481736456802462
835000	-1483.408488240837	-1466.7742341034066	-16.634254137430293	0.09018192578206034	20.287326713820217	0.012272048312300991
840000	-1482.799801042832	-1465.9497339531554	-16.850067089676795	0.045311562142766264	26.222407726488314	0.007246444375647507
845000	-1480.121428949902	-1461.8208155340267	-18.300613415875528	0.017723218900625354	27.179066781271082	0.006145304798620909
850000	-1480.4464548657238	-1463.5960853588876	-16.850369506836113	0.06525154345291519	27.449641348029736	0.0051829803008621635
855000	-1480.8864107027414	-1464.3597560044618	-16.526654698279586	0.10117629025971321	24.80452329218801	0.009102980233633047
860000	-1479.4791882018924	-1463.0911553120159	-16.38803288987657	0.08571373242962332	28.647872139482406	0.006049116895595331
865000	-1477.8050988818231	-1461.5025869929852	-16.302511888837916	0.07142270077397603	23.333055771668214	0.007103676734496781
870000	-1480.4902674630873	-1462.5437480489304	-17.946519414156946	0.12067554503895937	29.324246480609045	0.006392244073360355
875000	-1479.1509077925225	-1462.6177745907353	-16.533133201787205	0.060656875357795556	24.7240164103235	0.005101537075707028
880000	-1481.5236453564207	-1464.1709353469455	-17.35271000947521	0.10817882230328746	30.308441938971	0.0063218028862554775
