species	sample
americana-Mex	05LT11
americana-USA	IA0506
calverti-Mex	TULIaAM02
titia-NAtl	ACSFc01
titia-Pac	HtiCn7
titia-SAtl	MIXTa10
americana-Mex	TXRSbAM03
americana-USA	TN0119
calverti-Mex	HXRCaAM01
titia-NAtl	MO0311
titia-Pac	RLPEa05
titia-SAtl	BZ2105
americana-Mex	STDMaAM01
americana-USA	TN0413
calverti-Mex	05PU01
titia-NAtl	CYa10
titia-Pac	ARa05
titia-SAtl	PAa07
americana-Mex	HXRCcAM01
americana-USA	MO0111
calverti-Mex	10AP36
titia-NAtl	IL0135
titia-Pac	HtiPo10
titia-SAtl	BZ4802
